Medan,3,34,31,98,41,15,1,1,7,10,0,1010,10,60,0.0065
Lotu,1,23,50,97,21,17,1,1,7,10,0,1010,10,60,0.0065
Lahomi,0,59,58,97,29,42,1,1,7,10,0,1010,10,60,0.0065
Gunung Sitoli,1,17,38,97,36,35,1,1,7,10,0,1010,10,60,0.0065
Gunung Sitoli,1,13,48,97,39,8,1,1,7,10,0,1010,10,60,0.0065
Teluk Dalam,0,34,8,97,49,12,1,1,7,10,0,1010,10,60,0.0065
Sidikalang,2,44,50,98,18,52,1,1,7,10,0,1010,10,60,0.0065
Salak,2,32,31,98,19,26,1,1,7,10,0,1010,10,60,0.0065
Stabat,3,45,46,98,26,59,1,1,7,10,0,1010,10,60,0.0065
Binjai,3,36,30,98,29,51,1,1,7,10,0,1010,10,60,0.0065
Kabanjahe,3,6,17,98,29,53,1,1,7,10,0,1010,10,60,0.0065
Panguruan,2,36,24,98,41,44,1,1,7,10,0,1010,10,60,0.0065
Dolok Sanggul,2,15,41,98,44,51,1,1,7,10,0,1010,10,60,0.0065
Sibolga,1,44,17,98,46,43,1,1,7,10,0,1010,10,60,0.0065
Pandan,1,40,57,98,49,58,1,1,7,10,0,1010,10,60,0.0065
Lubuk Pakam,3,33,30,98,52,49,1,1,7,10,0,1010,10,60,0.0065
Parapat,2,40,3,98,56,18,1,1,7,10,0,1010,10,60,0.0065
Tarutung,2,1,16,98,57,54,1,1,7,10,0,1010,10,60,0.0065
Balige,2,19,54,99,3,5,1,1,7,10,0,1010,10,60,0.0065
Pematangsiantar,2,57,15,99,3,27,1,1,7,10,0,1010,10,60,0.0065
Sei Rampah,3,30,21,99,6,44,1,1,7,10,0,1010,10,60,0.0065
Tebing Tinggi,3,19,46,99,9,36,1,1,7,10,0,1010,10,60,0.0065
Padang Sidempuan,1,22,26,99,16,14,1,1,7,10,0,1010,10,60,0.0065
Sipirok,1,36,5,99,16,25,1,1,7,10,0,1010,10,60,0.0065
Limapuluh,3,10,8,99,25,3,1,1,7,10,0,1010,10,60,0.0065
Panyabungan,0,51,39,99,33,47,1,1,7,10,0,1010,10,60,0.0065
Gunung Tua,1,30,27,99,37,28,1,1,7,10,0,1010,10,60,0.0065
Kisaran,2,58,43,99,37,48,1,1,7,10,0,1010,10,60,0.0065
Aek Kanopan,2,34,7,99,38,34,1,1,7,10,0,1010,10,60,0.0065
Sibuhuan,1,3,15,99,43,57,1,1,7,10,0,1010,10,60,0.0065
Tanjung Balai,2,57,55,99,48,2,1,1,7,10,0,1010,10,60,0.0065
Rantau Prapat,2,5,42,99,50,3,1,1,7,10,0,1010,10,60,0.0065
Kota Pinang,1,53,43,100,5,2,1,1,7,10,0,1010,10,60,0.0065
