Ambon,3,41,48,128,10,39,0,1,9,10,0,1010,10,60,0.0065
Namrole,3,47,33,126,50,29,0,1,9,10,0,1010,10,60,0.0065
Namlea,3,15,29,127,5,57,0,1,9,10,0,1010,10,60,0.0065
Tiakur,8,10,14,127,47,20,0,1,9,10,0,1010,10,60,0.0065
Piru,3,3,48,128,11,19,0,1,9,10,0,1010,10,60,0.0065
Masohi,3,18,17,128,57,34,0,1,9,10,0,1010,10,60,0.0065
Bula,3,6,9,130,29,10,0,1,9,10,0,1010,10,60,0.0065
Saumlaki,7,58,29,131,18,15,0,1,9,10,0,1010,10,60,0.0065
Langgur,5,38,58,132,44,1,0,1,9,10,0,1010,10,60,0.0065
Tual,5,39,2,132,44,13,0,1,9,10,0,1010,10,60,0.0065
Dobo,5,45,40,134,13,56,0,1,9,10,0,1010,10,60,0.0065
