Semarang,6,59,1,110,26,44,0,1,7,10,0,1010,10,60,0.0065
Cilacap,7,43,39,109,0,32,0,1,7,10,0,1010,10,60,0.0065
Brebes,6,52,15,109,2,10,0,1,7,10,0,1010,10,60,0.0065
Tegal,6,52,3,109,8,14,0,1,7,10,0,1010,10,60,0.0065
Slawi,6,58,29,109,8,20,0,1,7,10,0,1010,10,60,0.0065
Purwokerto,7,25,28,109,13,45,0,1,7,10,0,1010,10,60,0.0065
Purbalingga,7,23,21,109,21,44,0,1,7,10,0,1010,10,60,0.0065
Pemalang,6,53,27,109,22,47,0,1,7,10,0,1010,10,60,0.0065
Kajen,7,1,36,109,35,25,0,1,7,10,0,1010,10,60,0.0065
Kebumen,7,40,8,109,39,1,0,1,7,10,0,1010,10,60,0.0065
Pekalongan,6,53,25,109,40,31,0,1,7,10,0,1010,10,60,0.0065
Banjarnegara,7,23,46,109,41,39,0,1,7,10,0,1010,10,60,0.0065
Batang,6,54,28,109,43,46,0,1,7,10,0,1010,10,60,0.0065
Wonosobo,7,21,34,109,54,4,0,1,7,10,0,1010,10,60,0.0065
Purworejo,7,42,44,110,0,28,0,1,7,10,0,1010,10,60,0.0065
Temanggung,7,18,59,110,10,29,0,1,7,10,0,1010,10,60,0.0065
Kendal,6,55,14,110,12,11,0,1,7,10,0,1010,10,60,0.0065
Magelang,7,28,38,110,13,1,0,1,7,10,0,1010,10,60,0.0065
Mungkid,7,35,38,110,13,13,0,1,7,10,0,1010,10,60,0.0065
Ungaran,7,8,7,110,24,32,0,1,7,10,0,1010,10,60,0.0065
Salatiga,7,19,47,110,29,56,0,1,7,10,0,1010,10,60,0.0065
Boyolali,7,31,55,110,35,49,0,1,7,10,0,1010,10,60,0.0065
Klaten,7,41,24,110,36,59,0,1,7,10,0,1010,10,60,0.0065
Demak,6,53,41,110,38,15,0,1,7,10,0,1010,10,60,0.0065
Jepara,6,35,28,110,39,59,0,1,7,10,0,1010,10,60,0.0065
Surakarta,7,34,29,110,49,37,0,1,7,10,0,1010,10,60,0.0065
Kudus,6,48,15,110,49,58,0,1,7,10,0,1010,10,60,0.0065
Sukoharjo,7,41,11,110,50,37,0,1,7,10,0,1010,10,60,0.0065
Purwodadi,7,4,52,110,54,59,0,1,7,10,0,1010,10,60,0.0065
Wonogiri,7,48,53,110,55,30,0,1,7,10,0,1010,10,60,0.0065
Karanganyar,7,35,40,110,56,19,0,1,7,10,0,1010,10,60,0.0065
Sragen,7,25,44,111,1,3,0,1,7,10,0,1010,10,60,0.0065
Pati,6,45,14,111,2,21,0,1,7,10,0,1010,10,60,0.0065
Rembang,6,42,21,111,20,53,0,1,7,10,0,1010,10,60,0.0065
Blora,6,58,9,111,24,45,0,1,7,10,0,1010,10,60,0.0065
