Surabaya,7,20,12,112,42,54,0,1,7,10,0,1010,10,60,0.0065
Pacitan,8,11,41,111,6,5,0,1,7,10,0,1010,10,60,0.0065
Magetan,7,39,22,111,19,38,0,1,7,10,0,1010,10,60,0.0065
Ngawi,7,24,11,111,26,36,0,1,7,10,0,1010,10,60,0.0065
Ponorogo,7,52,17,111,27,37,0,1,7,10,0,1010,10,60,0.0065
Madiun,7,37,46,111,30,56,0,1,7,10,0,1010,10,60,0.0065
Caruban,7,32,54,111,39,39,0,1,7,10,0,1010,10,60,0.0065
Trenggalek,8,2,58,111,42,34,0,1,7,10,0,1010,10,60,0.0065
Bojonegoro,7,8,58,111,52,51,0,1,7,10,0,1010,10,60,0.0065
Tulungagung,8,3,53,111,53,59,0,1,7,10,0,1010,10,60,0.0065
Nganjuk,7,36,10,111,54,1,0,1,7,10,0,1010,10,60,0.0065
Kediri,7,49,37,112,0,37,0,1,7,10,0,1010,10,60,0.0065
Ngasem,7,49,10,112,2,30,0,1,7,10,0,1010,10,60,0.0065
Tuban,6,53,43,112,3,51,0,1,7,10,0,1010,10,60,0.0065
Blitar,8,5,53,112,9,51,0,1,7,10,0,1010,10,60,0.0065
Kanigoro,8,7,48,112,13,5,0,1,7,10,0,1010,10,60,0.0065
Jombang,7,33,25,112,13,56,0,1,7,10,0,1010,10,60,0.0065
Lamongan,7,7,13,112,24,52,0,1,7,10,0,1010,10,60,0.0065
Mojokerto,7,27,48,112,25,52,0,1,7,10,0,1010,10,60,0.0065
Batu,7,52,13,112,31,35,0,1,7,10,0,1010,10,60,0.0065
Mojosari,7,31,14,112,33,33,0,1,7,10,0,1010,10,60,0.0065
Kepanjen,8,8,25,112,33,43,0,1,7,10,0,1010,10,60,0.0065
Gresik,7,9,59,112,36,51,0,1,7,10,0,1010,10,60,0.0065
Malang,7,58,57,112,37,47,0,1,7,10,0,1010,10,60,0.0065
Sidoarjo,7,26,45,112,42,59,0,1,7,10,0,1010,10,60,0.0065
Bangkalan,7,1,45,112,44,47,0,1,7,10,0,1010,10,60,0.0065
Bangil,7,35,52,112,47,1,0,1,7,10,0,1010,10,60,0.0065
Pasuruan,7,38,29,112,54,21,0,1,7,10,0,1010,10,60,0.0065
Probolinggo,7,44,39,113,12,54,0,1,7,10,0,1010,10,60,0.0065
Lumajang,8,8,5,113,13,24,0,1,7,10,0,1010,10,60,0.0065
Sampang,7,11,42,113,15,7,0,1,7,10,0,1010,10,60,0.0065
Kraksaan,7,45,38,113,24,56,0,1,7,10,0,1010,10,60,0.0065
Pamekasan,7,9,38,113,28,54,0,1,7,10,0,1010,10,60,0.0065
Jember,8,10,7,113,42,2,0,1,7,10,0,1010,10,60,0.0065
Bondowoso,7,54,46,113,49,16,0,1,7,10,0,1010,10,60,0.0065
Sumenep,7,0,29,113,51,32,0,1,7,10,0,1010,10,60,0.0065
Situbondo,7,42,25,114,0,16,0,1,7,10,0,1010,10,60,0.0065
Banyuwangi,8,12,35,114,22,22,0,1,7,10,0,1010,10,60,0.0065
