Banda Aceh,5,33,13,95,19,2,1,1,7,10,0,1010,10,60,0.0065
Sabang,5,53,38,95,19,27,1,1,7,10,0,1010,10,60,0.0065
Calang,4,38,5,95,34,52,1,1,7,10,0,1010,10,60,0.0065
Jantho,5,18,4,95,36,6,1,1,7,10,0,1010,10,60,0.0065
Sigli,5,22,52,95,57,29,1,1,7,10,0,1010,10,60,0.0065
Meulaboh,4,9,32,96,7,29,1,1,7,10,0,1010,10,60,0.0065
Meureudu,5,13,59,96,15,42,1,1,7,10,0,1010,10,60,0.0065
Suka Makmue,4,10,34,96,18,24,1,1,7,10,0,1010,10,60,0.0065
Sinabang,2,28,47,96,22,50,1,1,7,10,0,1010,10,60,0.0065
Bireuen,5,11,53,96,42,9,1,1,7,10,0,1010,10,60,0.0065
Blangpidie,3,44,15,96,50,4,1,1,7,10,0,1010,10,60,0.0065
Takengon,4,37,59,96,50,34,1,1,7,10,0,1010,10,60,0.0065
Simpang Tiga Redelong,4,43,32,96,52,14,1,1,7,10,0,1010,10,60,0.0065
Lhoknga,5,28,0,95,14,32,1,1,7,10,0,1010,10,60,0.0065
Lhokseumawe,5,10,48,97,8,32,1,1,7,10,0,1010,10,60,0.0065
Tapak Tuan,3,15,29,97,10,46,1,1,7,10,0,1010,10,60,0.0065
Lhoksukon,5,2,31,97,19,22,1,1,7,10,0,1010,10,60,0.0065
Blang Kejeren,3,59,50,97,20,19,1,1,7,10,0,1010,10,60,0.0065
Idi Rayeuk,4,56,57,97,46,23,1,1,7,10,0,1010,10,60,0.0065
Singkil,2,17,3,97,47,16,1,1,7,10,0,1010,10,60,0.0065
Kutacane,3,29,6,97,48,40,1,1,7,10,0,1010,10,60,0.0065
Langsa,4,28,12,97,58,17,1,1,7,10,0,1010,10,60,0.0065
Subulussalam,2,39,15,98,0,7,1,1,7,10,0,1010,10,60,0.0065
Karang Baru,4,15,40,98,3,39,1,1,7,10,0,1010,10,60,0.0065
