Samarinda,0,30,9,117,7,14,0,1,8,10,0,1010,10,60,0.0065
Ujoh Bilang,0,30,6,115,16,14,1,1,8,10,0,1010,10,60,0.0065
Sendawar,0,13,59,115,41,11,0,1,8,10,0,1010,10,60,0.0065
Tana Paser,1,54,38,116,11,57,0,1,8,10,0,1010,10,60,0.0065
Penajam,1,18,4,116,44,13,0,1,8,10,0,1010,10,60,0.0065
Balikpapan,1,16,37,116,49,46,0,1,8,10,0,1010,10,60,0.0065
Tenggarong,0,24,47,116,59,13,0,1,8,10,0,1010,10,60,0.0065
Bontang,0,7,10,117,29,10,1,1,8,10,0,1010,10,60,0.0065
Tanjungredep,2,9,4,117,30,15,1,1,8,10,0,1010,10,60,0.0065
Sangatta,0,31,19,117,36,37,1,1,8,10,0,1010,10,60,0.0065
