Kupang,10,9,53,123,34,47,0,1,8,10,0,1010,10,60,0.0065
Tambolaka,9,23,39,119,13,18,0,1,8,10,0,1010,10,60,0.0065
Waikabubak,9,38,2,119,24,38,0,1,8,10,0,1010,10,60,0.0065
Waibakul,9,35,26,119,34,37,0,1,8,10,0,1010,10,60,0.0065
Labuan Bajo,8,29,35,119,53,3,0,1,8,10,0,1010,10,60,0.0065
Waingapu,9,38,43,120,15,28,0,1,8,10,0,1010,10,60,0.0065
Ruteng,8,37,11,120,27,44,0,1,8,10,0,1010,10,60,0.0065
Borong,8,49,8,120,36,48,0,1,8,10,0,1010,10,60,0.0065
Bajawa,8,47,19,120,58,19,0,1,8,10,0,1010,10,60,0.0065
Mbay,8,31,12,121,17,45,0,1,8,10,0,1010,10,60,0.0065
Ende,8,51,15,121,39,17,0,1,8,10,0,1010,10,60,0.0065
Seba,10,27,22,121,52,37,0,1,8,10,0,1010,10,60,0.0065
Maumere,8,37,9,122,13,1,0,1,8,10,0,1010,10,60,0.0065
Larantuka,8,20,39,122,58,55,0,1,8,10,0,1010,10,60,0.0065
Baa,10,43,38,123,2,53,0,1,8,10,0,1010,10,60,0.0065
Lewoleba,8,22,21,123,25,1,0,1,8,10,0,1010,10,60,0.0065
Oelamasi,10,5,30,123,51,20,0,1,8,10,0,1010,10,60,0.0065
Soe,9,51,43,124,16,17,0,1,8,10,0,1010,10,60,0.0065
Kefamenanu,9,26,48,124,28,39,0,1,8,10,0,1010,10,60,0.0065
Kalabahi,8,13,3,124,30,57,0,1,8,10,0,1010,10,60,0.0065
Atambua,9,6,19,124,53,45,0,1,8,10,0,1010,10,60,0.0065
Betun,9,33,50,124,54,31,0,1,8,10,0,1010,10,60,0.0065
