Palembang,2,59,17,104,45,38,0,1,7,10,0,1010,10,60,0.0065
Lubuklinggau,3,17,50,102,51,37,0,1,7,10,0,1010,10,60,0.0065
Rupit,2,42,31,102,54,36,0,1,7,10,0,1010,10,60,0.0065
Muara Beliti,3,14,31,103,0,41,0,1,7,10,0,1010,10,60,0.0065
Tebing Tinggi,3,35,40,103,5,12,0,1,7,10,0,1010,10,60,0.0065
Pagar Alam,4,1,17,103,15,2,0,1,7,10,0,1010,10,60,0.0065
Lahat,3,47,20,103,32,23,0,1,7,10,0,1010,10,60,0.0065
Muara Enim,3,39,17,103,46,36,0,1,7,10,0,1010,10,60,0.0065
Talang Ubi,3,16,23,103,49,27,0,1,7,10,0,1010,10,60,0.0065
Sekayu,2,53,9,103,50,10,0,1,7,10,0,1010,10,60,0.0065
Muaradua,4,32,1,104,4,26,0,1,7,10,0,1010,10,60,0.0065
Baturaja,4,7,18,104,10,16,0,1,7,10,0,1010,10,60,0.0065
Prabumulih,3,25,24,104,14,30,0,1,7,10,0,1010,10,60,0.0065
Martapura,4,18,58,104,20,47,0,1,7,10,0,1010,10,60,0.0065
Pangkalan Balai,2,54,50,104,24,25,0,1,7,10,0,1010,10,60,0.0065
Indralaya,3,11,27,104,40,56,0,1,7,10,0,1010,10,60,0.0065
Kayu Agung,3,23,36,104,50,2,0,1,7,10,0,1010,10,60,0.0065
