Pontianak,0,2,29,109,20,11,0,1,7,10,0,1010,10,60,0.0065
Mempawah,0,21,57,108,57,8,1,1,7,10,0,1010,10,60,0.0065
Singkawang,0,54,39,108,59,20,1,1,7,10,0,1010,10,60,0.0065
Sambas,1,21,42,109,18,26,1,1,7,10,0,1010,10,60,0.0065
Sungai Raya,0,7,51,109,24,28,0,1,7,10,0,1010,10,60,0.0065
Bengkayang,0,49,35,109,28,59,1,1,7,10,0,1010,10,60,0.0065
Sukadana,1,14,29,109,56,58,0,1,7,10,0,1010,10,60,0.0065
Ngabang,0,22,51,109,57,13,1,1,7,10,0,1010,10,60,0.0065
Ketapang,1,50,19,109,58,28,0,1,7,10,0,1010,10,60,0.0065
Sanggau,0,7,29,110,36,9,1,1,7,10,0,1010,10,60,0.0065
Sekadau,0,0,59,110,53,59,1,1,7,10,0,1010,10,60,0.0065
Sintang,0,4,33,111,29,44,1,1,7,10,0,1010,10,60,0.0065
Nanga Pinoh,0,19,54,111,44,12,0,1,7,10,0,1010,10,60,0.0065
Putussibau,0,52,17,112,55,25,1,1,7,10,0,1010,10,60,0.0065
